Date,Open,High,Low,Close,Volume,Adj Close
2012-06-25,141.360001,142.139999,140.820007,141.880005,16300,141.880005
2012-06-22,141.449997,141.759995,140.550003,141.419998,40000,141.419998
2012-06-21,143.580002,143.919998,141.149994,141.679993,69500,141.679993
2012-06-20,144.320007,146.179993,143.130005,143.440002,60200,143.440002
2012-06-19,146.619995,147.210007,145.910004,145.919998,32800,145.919998
2012-06-18,146.600006,146.600006,146.080002,146.309998,15300,146.309998
2012-06-15,147.389999,147.419998,146.100006,146.389999,30200,146.389999
2012-06-14,146.389999,147.419998,145.220001,147.419998,47400,147.419998
2012-06-13,144.279999,144.910004,143.850006,144.289993,23100,144.289993
2012-06-12,142.199997,143.600006,141.860001,143.529999,24500,143.529999
2012-06-11,143.080002,143.100006,142.119995,142.490005,39100,142.490005
2012-06-08,140.190002,141.679993,139.800003,141.330002,24400,141.330002
2012-06-07,144.720001,144.720001,141.720001,142.119995,96400,142.119995
2012-06-06,144.330002,144.929993,143.899994,144.270004,43600,144.270004
2012-06-05,141.839996,142.380005,141.589996,141.839996,137000,141.839996
2012-06-04,141.759995,142.00,140.380005,141.160004,22900,141.160004
2012-06-01,139.710007,142.600006,139.639999,142.169998,66100,142.169998
2012-05-31,138.779999,139.800003,137.860001,139.539993,24200,139.539993
2012-05-30,138.50,138.679993,136.740005,138.220001,106400,138.220001
2012-05-29,142.059998,142.649994,140.259995,140.699997,35900,140.699997
2012-05-25,140.119995,141.240005,140.00,141.070007,54700,141.070007
2012-05-24,141.100006,141.300003,139.25,139.880005,72900,139.880005
2012-05-23,140.850006,140.850006,138.660004,140.50,84000,140.50
2012-05-22,144.009995,144.399994,142.160004,142.589996,26100,142.589996
2012-05-21,143.880005,144.990005,143.779999,144.979996,79100,144.979996
2012-05-18,143.949997,144.580002,143.100006,143.419998,84100,143.419998
2012-05-17,142.589996,143.820007,142.050003,143.100006,40600,143.100006
2012-05-16,140.899994,142.259995,140.380005,140.960007,76400,140.960007
2012-05-15,142.440002,142.919998,141.059998,141.25,66000,141.25
2012-05-14,142.940002,143.020004,141.710007,141.839996,94400,141.839996
2012-05-11,144.410004,145.759995,144.119995,144.429993,31000,144.429993
2012-05-10,147.520004,147.860001,146.559998,146.589996,38100,146.589996
2012-05-09,147.619995,148.240005,146.919998,147.679993,20900,147.679993
2012-05-08,149.539993,149.539993,148.00,149.059998,76400,149.059998
2012-05-07,150.740005,150.809998,150.149994,150.699997,24000,150.699997
2012-05-04,150.860001,151.779999,149.940002,150.639999,49800,150.639999
2012-05-03,153.139999,153.139999,150.759995,151.029999,38000,151.029999
2012-05-02,154.020004,154.259995,153.649994,154.100006,14000,154.100006
2012-05-01,154.580002,155.50,154.350006,154.979996,25800,154.979996
2012-04-30,154.660004,155.160004,154.320007,154.550003,31000,154.550003
2012-04-27,155.220001,155.440002,154.899994,155.059998,25200,155.059998
2012-04-26,153.350006,155.119995,153.259995,154.619995,35400,154.619995
2012-04-25,153.199997,153.600006,152.039993,153.259995,51600,153.259995
2012-04-24,153.539993,153.539993,152.259995,152.360001,54300,152.360001
2012-04-23,153.580002,153.899994,153.110001,153.729996,56500,153.729996
2012-04-20,155.559998,156.300003,155.559998,155.820007,36000,155.820007
2012-04-19,156.199997,156.809998,155.139999,155.679993,45000,155.679993
2012-04-18,156.009995,156.710007,155.279999,155.339996,42200,155.339996
2012-04-17,155.440002,156.440002,154.600006,156.139999,48200,156.139999
2012-04-16,155.259995,155.619995,154.520004,155.339996,64800,155.339996
2012-04-13,157.880005,157.880005,156.080002,156.139999,58100,156.139999
2012-04-12,156.139999,158.380005,156.139999,158.070007,84900,158.070007
2012-04-11,157.119995,157.380005,155.919998,156.089996,48100,156.089996
2012-04-10,157.979996,158.119995,156.360001,157.50,94300,157.50
2012-04-09,159.380005,159.679993,158.759995,159.039993,20300,159.039993
2012-04-05,157.419998,158.399994,157.059998,158.179993,27100,158.179993
2012-04-04,159.00,159.080002,157.360001,157.75,72500,157.75
2012-04-03,164.050003,164.050003,161.639999,162.039993,102600,162.039993
2012-04-02,162.059998,163.419998,162.00,162.970001,54800,162.970001
2012-03-30,161.830002,162.100006,160.369995,161.720001,38100,161.720001
2012-03-29,161.720001,161.929993,160.100006,160.570007,31500,160.570007
2012-03-28,162.259995,162.300003,161.089996,161.350006,42100,161.350006
2012-03-27,164.00,164.279999,162.979996,163.149994,28600,163.149994
2012-03-26,161.940002,162.630005,161.639999,162.630005,38000,162.630005
2012-03-23,159.520004,161.440002,159.259995,160.440002,52900,160.440002
2012-03-22,158.300003,160.080002,158.139999,159.740005,121500,159.740005
2012-03-21,162.649994,162.649994,161.479996,161.679993,49900,161.679993
2012-03-20,163.460007,164.039993,162.759995,163.149994,46500,163.149994
2012-03-19,165.460007,166.240005,164.899994,165.779999,32400,165.779999
2012-03-16,165.179993,165.839996,164.979996,164.979996,53700,164.979996
2012-03-15,165.350006,166.779999,165.00,165.899994,129000,165.899994
2012-03-14,165.669998,166.199997,164.00,164.830002,109100,164.830002
2012-03-13,166.839996,168.020004,166.059998,166.520004,90100,166.520004
2012-03-12,166.710007,168.309998,166.00,167.179993,68000,167.179993
2012-03-09,163.449997,166.369995,163.190002,166.300003,81500,166.300003
2012-03-08,161.089996,164.080002,160.759995,163.559998,78800,163.559998
2012-03-07,160.449997,161.220001,160.100006,160.940002,72200,160.940002
2012-03-06,159.220001,160.220001,158.839996,159.339996,172600,159.339996
2012-03-05,164.839996,164.880005,163.270004,163.660004,120200,163.660004
2012-03-02,167.919998,168.119995,166.580002,167.419998,61100,167.419998
2012-03-01,166.899994,168.220001,166.419998,167.919998,66000,167.919998
2012-02-29,171.080002,171.460007,165.320007,165.619995,277900,165.619995
2012-02-28,169.300003,170.350006,169.070007,169.740005,102200,169.740005
2012-02-27,168.380005,169.300003,168.080002,168.490005,52800,168.490005
2012-02-24,168.979996,170.100006,168.660004,169.059998,40100,169.059998
2012-02-23,170.380005,170.649994,169.490005,170.320007,103700,170.320007
2012-02-22,169.00,170.970001,168.960007,170.300003,250500,170.300003
2012-02-21,165.649994,166.949997,165.460007,166.539993,107100,166.539993
2012-02-17,161.839996,161.839996,160.539993,161.119995,83400,161.119995
2012-02-16,159.300003,160.699997,158.919998,160.369995,86100,160.369995
2012-02-15,162.300003,162.300003,160.899994,161.339996,96900,161.339996
2012-02-14,161.580002,161.679993,160.130005,160.990005,237400,160.990005
2012-02-13,163.800003,163.960007,162.020004,162.929993,112000,162.929993
2012-02-10,162.300003,163.880005,161.860001,163.800003,135500,163.800003
2012-02-09,164.820007,164.940002,163.300003,163.449997,131000,163.449997
2012-02-08,162.940002,164.580002,162.899994,164.50,198900,164.50
2012-02-07,160.279999,163.179993,159.949997,163.050003,123500,163.050003
2012-02-06,159.179993,160.759995,159.020004,160.600006,87400,160.600006
2012-02-03,160.699997,161.080002,159.399994,160.009995,96500,160.009995
2012-02-02,160.089996,161.270004,159.979996,160.779999,123600,160.779999
2012-02-01,159.100006,160.559998,158.539993,159.740005,146700,159.740005
2012-01-31,160.539993,160.679993,156.100006,156.860001,174300,156.860001
2012-01-30,158.899994,159.539993,158.630005,159.100006,50400,159.100006
2012-01-27,158.940002,160.300003,158.940002,160.149994,93900,160.149994
2012-01-26,160.059998,160.059998,158.559998,159.020004,140000,159.020004
2012-01-25,153.380005,156.479996,152.50,156.410004,131500,156.410004
2012-01-24,152.509995,153.539993,152.160004,152.880005,100200,152.880005
2012-01-23,152.559998,154.639999,152.539993,154.479996,113700,154.479996
2012-01-20,149.970001,151.699997,149.639999,151.690002,74000,151.690002
2012-01-19,151.210007,151.389999,149.520004,150.309998,160200,150.309998
