,Gold,PPLT,SLV
770,79.373169,122.779999,17.51
771,81.676413,121.309998,17.129999
772,83.566248,122.690002,17.33
773,82.089813,121.879997,17.23
774,81.75515,118.489998,16.24
775,83.920593,120.400002,16.540001
776,83.467821,119.129997,16.469999
777,82.296513,119.800003,16.549999
778,82.46384,120.339996,16.629999
779,83.792631,121.779999,16.58
780,79.904687,118.790001,16.030001
781,80.967722,118.209999,16.32
782,77.995161,117.110001,16.190001
783,76.932134,115.760002,16.08
784,77.365216,116.309998,16.15
785,77.069934,117.010002,16.540001
786,75.288363,114.239998,15.83
787,77.060089,113.989998,15.75
788,75.691926,113.589996,15.7
789,74.914335,112.940002,15.54
790,74.845435,112.940002,15.63
791,75.514753,112.989998,15.56
792,77.493179,113.580002,15.83
793,77.758934,114.099998,15.84
794,77.945951,115.199997,15.87
795,76.646689,115.110001,15.66
796,75.189936,114.989998,15.58
797,72.552037,114.57,15.49
798,72.36502,114.330002,15.53
799,68.162103,112.349998,15.19
800,67.453413,111.389999,15.1
801,66.10494,109.540001,15.02
802,68.408176,108.400002,14.84
803,68.537249,108.209999,14.92
804,67.802534,108.25,14.9
805,68.259249,107.360001,14.99
806,68.140103,106.120003,14.9
807,70.205257,108.300003,15.36
808,70.076188,108.849998,15.44
809,71.664766,110.290001,16.0
810,72.856197,111.260002,16.299999
811,72.071835,110.449997,16.280001
812,71.198119,110.860001,16.24
813,70.503119,111.75,16.299999
814,70.453473,110.43,16.219999
815,70.403834,108.639999,15.98
816,68.775534,110.709999,15.93
817,70.99955,112.760002,16.23
818,70.423688,111.790001,16.02
819,71.545619,114.110001,16.27
820,70.274758,113.830002,16.15
821,69.778327,113.080002,15.81
822,69.262042,112.029999,15.51
823,70.681834,113.800003,15.77
824,70.701688,111.660004,15.6
825,72.091696,111.690002,15.51
826,73.888774,112.629997,15.63
827,74.831997,112.32,15.57
828,74.117135,113.589996,15.56
829,74.851851,111.279999,15.29
830,74.802205,111.330002,15.32
831,73.670343,109.440002,15.11
832,75.546851,110.190002,15.21
833,74.017851,108.870003,15.06
834,73.710058,111.349998,15.66
835,76.837575,112.129997,15.87
836,77.403506,111.75,15.81
837,75.626282,110.559998,15.43
838,75.248997,109.639999,15.47
839,75.606428,111.110001,15.7
840,74.524205,110.870003,15.81
841,73.461843,110.709999,15.77
842,73.213628,109.400002,15.6
843,72.826412,110.5,15.76
844,72.895912,109.18,15.57
845,73.471774,109.57,15.81
846,75.894359,111.150002,16.35
847,76.043282,112.290001,16.65
